Transaction_ID,Name,City,State,Country,Age,Gender,Income,Total_Purchases,Total_Amount,Product_Category,Product_Brand,Product_Type,Shipping_Method,Payment_Method,products
1000740,Megan Horton,Windsor,Ontario,Canada,26,Male,Medium,8,3845.581386,Electronics,Whirepool,Fridge,Express,Debit Card,Side-by-side refrigerator
1000806,Peter Howard,San Diego,New York,USA,21,Male,Medium,6,1014.553429,Books,Random House,Fiction,Express,Debit Card,Romance
1000809,Angela Lopez,Edinburgh,England,UK,53,Male,Medium,4,1393.876409,Grocery,Nestle,Coffee,Same-Day,Cash,Latte
1000820,Lisa Alvarez,Leipzig,Berlin,Germany,30,Female,High,9,4295.746329,Books,Penguin Books,Non-Fiction,Express,Cash,Self-help
1000828,Kristy Parker,Chicago,Connecticut,USA,34,Male,Low,2,92.3844446,Grocery,Pepsi,Soft Drink,Same-Day,PayPal,Ginger ale
1000831,Jennifer Eaton,Mackay,New South Wales,Australia,20,Male,Low,2,116.9941404,Clothing,Zara,Shirt,Same-Day,Credit Card,Hoodie
1000861,James Kelly,Kitchener,Ontario,Canada,44,Female,High,9,2813.314807,Home Decor,Bed Bath & Beyond,Kitchen,Standard,Debit Card,Dishwasher
1000899,Kim Clark,Oshawa,Ontario,Canada,23,Female,Medium,4,270.473425,Books,Random House,Fiction,Standard,Credit Card,Science fiction
1000920,John Malone,Frankfurt,Berlin,Germany,22,Male,Medium,5,233.0770599,Home Decor,IKEA,Decorations,Standard,Credit Card,Wall art
1000921,Anne Price,Frankfurt,Berlin,Germany,22,Male,Medium,6,2472.039209,Clothing,Adidas,Jacket,Express,PayPal,Parka
1000939,Robin Ramirez,Portland,Iowa,USA,67,Male,Low,5,1393.183196,Books,HarperCollins,Thriller,Same-Day,PayPal,Detective
1000947,Denise Ortega,St. John's,Ontario,Canada,41,Male,Low,4,1053.125686,Home Decor,Home Depot,Furniture,Same-Day,Credit Card,Bookshelf
1000953,Amanda Anderson,Bendigo,New South Wales,Australia,57,Male,Low,7,1733.85914,Electronics,Apple,Laptop,Standard,,Razer Blade
1000981,David Everett,Albuquerque,Texas,USA,42,Female,Low,10,1094.892868,Books,Penguin Books,Non-Fiction,Standard,Credit Card,Travel
1000986,Elizabeth Mitchell,Toronto,Ontario,Canada,36,Male,High,8,90.81323386,Electronics,Samsung,Television,Same-Day,Credit Card,QLED TV
1000996,Sean Manning,Gold Coast,New South Wales,Australia,31,Female,High,8,2027.90309,Home Decor,Home Depot,Decorations,Express,Credit Card,Picture frames
1001000,Arthur Walls,Philadelphia,California,USA,35,Female,High,4,786.3698827,Home Decor,IKEA,Furniture,Same-Day,Cash,Coffee table
1001023,Shannon Roy,Regina,Ontario,Canada,22,Female,Low,2,866.9713208,Clothing,Zara,Jeans,Same-Day,Credit Card,Flare jeans
1001061,Krystal Hill,Frankfurt,Berlin,Germany,22,Male,Medium,6,253.8440988,Books,Penguin Books,Children's,Express,Credit Card,Plush toys
1001065,Matthew Perry,Fort Worth,New Mexico,USA,19,Female,Low,8,712.4915762,Books,Penguin Books,Fiction,Express,PayPal,Romance
1001124,Tammy James,Bristol,England,UK,26,Male,Low,9,271.0896162,Electronics,Whirepool,Fridge,Same-Day,PayPal,Stainless steel refrigerator
1001126,Robin Simmons,Frankfurt,Berlin,Germany,24,Female,Low,9,371.4518549,Home Decor,Bed Bath & Beyond,Kitchen,Standard,Debit Card,Stove
1001139,Chase Carr,Barrie,Ontario,Canada,30,Female,Medium,8,818.7437729,Home Decor,IKEA,Decorations,Same-Day,Credit Card,Wall art
1001176,Angela Wagner,Edmonton,Ontario,Canada,60,Female,High,9,3574.448862,Electronics,Samsung,Tablet,Standard,PayPal,Huawei MediaPad
1001207,Dorothy Ramos,Southampton,England,UK,38,Male,Medium,4,1831.258023,Electronics,Samsung,Tablet,Express,Cash,Microsoft Surface
1001226,Kari Jackson,Cardiff,England,UK,34,Male,Low,8,2453.627389,Grocery,Pepsi,Water,Express,Credit Card,Coconut water
1001244,Jennifer Jordan,Chicago,Connecticut,USA,20,Male,Medium,7,637.5038544,Electronics,Samsung,Television,Express,Credit Card,Curved TV
1001278,Richard Cunningham,Portsmouth,England,UK,19,Male,Medium,5,683.6270373,Clothing,Zara,Shirt,Same-Day,PayPal,Button-down shirt
1001292,Matthew Harrison,Belfast,England,UK,68,Male,Low,4,1989.390333,Electronics,Sony,Television,Express,Debit Card,OLED TV
1001358,Tracey Craig,Gold Coast,New South Wales,Australia,47,Male,Medium,5,2130.064058,Books,HarperCollins,Fiction,Standard,Debit Card,Historical fiction
1001378,William Brown,Glasgow,England,UK,20,Female,High,6,1094.528878,Books,HarperCollins,Fiction,Standard,Debit Card,Adventure
1001392,Donald Nguyen,Sydney,New South Wales,Australia,31,Male,Low,3,44.37801356,Grocery,Pepsi,Juice,Express,Credit Card,Pineapple juice
1001405,Lauren Mitchell,Adelaide,New South Wales,Australia,20,Male,Low,9,97.10622655,Electronics,Sony,Television,Express,Cash,LED TV
1001449,Sherry Bentley,Melbourne,New South Wales,Australia,56,Female,High,8,2112.576754,Grocery,Coca-Cola,Juice,Same-Day,Debit Card,Mixed fruit juice
1001488,Ms. Kelly Martinez DDS,Nottingham,England,UK,46,Male,Medium,8,859.924134,Clothing,Nike,T-shirt,Express,PayPal,Graphic tee
1001528,Sarah Rogers,San Jose,Washington,USA,20,Male,Low,5,1816.122838,Home Decor,IKEA,Furniture,Standard,Cash,Bed
1001583,Leslie Washington,Boston,Georgia,USA,23,Female,High,9,1015.560023,Books,HarperCollins,Thriller,Express,Credit Card,Mystery
1001589,Ryan Torres,Kelowna,Ontario,Canada,39,Female,Medium,6,1500.95665,Books,Random House,Fiction,Standard,Debit Card,Science fiction
1001602,Hannah Marks,Boston,Georgia,USA,23,Male,High,10,2145.451912,Electronics,Apple,Tablet,Express,Cash,Huawei MediaPad
1001628,Anthony Harris,Portsmouth,England,UK,19,Male,Medium,10,608.3433374,Grocery,Nestle,Chocolate,Standard,PayPal,Milk chocolate
1001634,Sharon Graham,Indianapolis,Kansas,USA,26,Male,Low,2,439.2116511,Electronics,Whirepool,Fridge,Standard,Credit Card,French door refrigerator
1001637,Christopher Brown,Chicago,Connecticut,USA,34,Female,Low,6,2939.7722,Electronics,Apple,Tablet,Express,Credit Card,Lenovo Tab
1001673,Dwayne Nixon,Boston,Georgia,USA,23,Male,High,9,2921.914287,Clothing,Zara,Jeans,Express,PayPal,Skinny jeans
1001707,Andrew Anderson,Denver,Delaware,USA,22,Male,Medium,5,2472.609445,Electronics,Sony,Television,Express,Credit Card,Smart TV
1001717,Valerie Kim,Toowoomba,New South Wales,Australia,58,Male,Low,10,3338.236422,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Express,Cash,Central AC
1001780,Michael Wilson,Portsmouth,England,UK,24,Male,Medium,9,1090.336848,Grocery,Coca-Cola,Juice,Same-Day,Credit Card,Mango juice
1001785,Amanda Chandler,Perth,New South Wales,Australia,26,Male,Medium,2,476.2746487,Clothing,Adidas,Jacket,Express,PayPal,Varsity jacket
1001788,Andrea Wood,Melbourne,New South Wales,Australia,39,Male,Medium,7,919.8068841,Books,Random House,Non-Fiction,Same-Day,PayPal,Travel
1001821,Kristin Murphy,Montreal,Ontario,Canada,24,Male,Low,2,618.0683591,Electronics,Samsung,Tablet,Express,Cash,Sony Xperia Tablet
1001861,Julie Pollard,Chicago,Connecticut,USA,34,Female,Low,5,1234.370408,Grocery,Pepsi,Water,Standard,PayPal,Distilled water
1001864,Kevin Chambers,Wichita,Oregon,USA,67,Male,Medium,5,1186.070679,Books,Penguin Books,Fiction,Express,Debit Card,Adventure
1001874,Jennifer Boone,Edmonton,Ontario,Canada,46,Male,Medium,9,4242.93856,Home Decor,Bed Bath & Beyond,Bedding,Standard,Credit Card,Comforter
1001900,Donald Wong,Las Vegas,Mississippi,USA,46,Female,Low,1,472.5005788,Electronics,Apple,Laptop,Same-Day,Cash,Lenovo ThinkPad
1001942,Mark Davis,Ottawa,Ontario,Canada,26,Male,Medium,10,2933.030364,Books,Penguin Books,Non-Fiction,Same-Day,Cash,Biography
1002000,Paul Martin,Glasgow,England,UK,29,Female,Low,7,1126.539758,Grocery,Nestle,Snacks,Same-Day,Debit Card,Crackers
1002001,Julie West,Newcastle upon Tyne,England,UK,20,Male,High,9,2384.384646,Books,HarperCollins,Fiction,Standard,Cash,Dystopian
1002015,Brandon Russell,London,England,UK,26,Male,Medium,5,841.1553652,Home Decor,Home Depot,Furniture,Same-Day,Credit Card,Nightstand
1002087,Jacob Escobar,London,Ontario,Canada,46,Male,High,5,1409.921202,Home Decor,Bed Bath & Beyond,Bedding,Express,PayPal,Pillowcase set
1002110,Veronica Robinson,Chicago,Connecticut,USA,34,Male,Medium,4,1265.898534,Grocery,Pepsi,Water,Standard,Cash,Alkaline water
1002114,Dawn Torres,Townsville,New South Wales,Australia,39,Female,High,6,2584.336477,Grocery,Nestle,Coffee,Standard,Debit Card,Americano
1002147,Jeremy Alvarado,Barrie,Ontario,Canada,22,Male,High,4,137.7251451,Clothing,Adidas,T-shirt,Express,Debit Card,Crop top
1002192,Jason Myers,Quebec City,Ontario,Canada,26,Male,High,2,831.0433342,Electronics,Whirepool,Fridge,Same-Day,Cash,Mini fridge
1002198,Aaron Powers,DÃ¼sseldorf,Berlin,Germany,20,Female,High,6,942.6641639,Books,Random House,Literature,Express,Debit Card,Anthologies
1002209,Eric Gill,Cardiff,England,UK,40,Male,Medium,9,3956.71645,Home Decor,Bed Bath & Beyond,Kitchen,Standard,Debit Card,Coffee maker
1002210,Jenny Gonzalez,Boston,Georgia,USA,23,Female,High,9,3021.56913,Grocery,Nestle,Snacks,Same-Day,PayPal,Cheese snacks
1002302,Tracy Chen,Portsmouth,England,UK,21,Male,High,8,1352.760624,Grocery,Coca-Cola,Juice,Standard,Cash,Mixed fruit juice
1002306,Joshua Howard,Frankfurt,Berlin,Germany,22,Female,Medium,9,3799.39912,Books,Random House,Literature,Same-Day,PayPal,Non-fiction literature
1002352,Alejandro Yoder,Chicago,Connecticut,USA,34,Male,Low,3,346.4880627,Grocery,Pepsi,Water,Standard,PayPal,Artesian water
1002377,Ashley Armstrong,San Francisco,Maine,USA,26,Male,High,7,2054.826981,Home Decor,Home Depot,Decorations,Standard,Cash,Candles
1002393,Virginia Sharp,Las Vegas,Kansas,USA,20,Male,Low,10,4061.06802,Books,HarperCollins,Non-Fiction,Express,Credit Card,Memoir
1002458,Melissa Wilson,Gold Coast,New South Wales,Australia,20,Male,Medium,6,1582.501761,Clothing,Nike,Shoes,Same-Day,PayPal,Sandals
1002472,Lisa Gonzales,Mackay,New South Wales,Australia,53,Female,Medium,7,185.8959133,Electronics,Apple,Tablet,Same-Day,Debit Card,Asus ZenPad
1002510,Emily Stephens,Chicago,Connecticut,USA,34,Female,Low,9,1604.64165,Books,Penguin Books,Non-Fiction,Standard,Credit Card,History
1002520,Pamela Schmidt,Toowoomba,New South Wales,Australia,20,Male,Medium,8,591.8563291,Electronics,Samsung,Smartphone,Express,Credit Card,Xiaomi Mi
1002539,Daniel Perkins,Wichita,Colorado,USA,18,Male,Low,3,1180.898204,Home Decor,IKEA,Furniture,Express,Debit Card,TV stand
1002559,Michael Perry,Hobart,New South Wales,Australia,26,Female,High,4,472.9771213,Clothing,Nike,T-shirt,Express,Debit Card,V-neck tee
1002568,Andrew Frank,Portsmouth,England,UK,19,Female,Medium,4,992.172205,Grocery,Coca-Cola,Juice,Same-Day,Debit Card,Pineapple juice
1002661,Tyler Wells,Memphis,Ohio,USA,63,Male,High,6,2125.216053,Electronics,Sony,Headphones,Standard,Debit Card,Noise-cancelling headphones
1002664,Michael Richardson,Windsor,Ontario,Canada,56,Female,Medium,7,490.4197173,Grocery,Pepsi,Water,Standard,Cash,Coconut water
1002701,Mrs. Lorraine Buchanan,MÃ¼nster,Berlin,Germany,46,Male,Low,3,34.51860952,Clothing,Adidas,Shoes,Express,Cash,High heels
1002709,Jacob Munoz,Portsmouth,England,UK,21,Male,Medium,4,1310.766897,Grocery,Nestle,Coffee,Express,Cash,Coffee beans
1002717,Frank Jenkins,Portsmouth,England,UK,19,Male,Medium,5,2157.336935,Home Decor,IKEA,Lighting,Same-Day,PayPal,Recessed lighting
1002799,Donna Lopez,Launceston,New South Wales,Australia,27,Female,Medium,2,529.7210918,Books,Random House,Non-Fiction,Express,Debit Card,Business
1002807,Kevin Harrell,Bendigo,New South Wales,Australia,46,Male,Medium,8,2025.954054,Clothing,Adidas,Jacket,Express,PayPal,Windbreaker
1002987,Danielle Bryant,Duisburg,Berlin,Germany,46,Male,Medium,3,1064.165368,Grocery,Pepsi,Water,Standard,PayPal,Flavored water
1002997,Steven Williams,Bonn,Berlin,Germany,55,Female,Low,2,699.9667933,Grocery,Pepsi,Juice,Standard,Credit Card,Pineapple juice
1003001,Traci Williams,Frankfurt,Berlin,Germany,22,Male,Medium,8,1714.421341,Grocery,Coca-Cola,Soft Drink,Same-Day,Debit Card,Lemon-lime soda
1003009,Nathan Williams,Bendigo,New South Wales,Australia,26,Male,Low,4,48.27747545,Electronics,Whirepool,Fridge,Standard,Credit Card,Side-by-side refrigerator
1003037,Derek Brooks,Portsmouth,England,UK,21,Female,Medium,9,1159.236363,Books,Random House,Literature,Standard,Cash,Drama
1003041,Paul Harvey,Toronto,Ontario,Canada,20,Male,Low,8,1895.661077,Clothing,Adidas,Jacket,Same-Day,Debit Card,Windbreaker
1003055,Susan Stevens,Dresden,Berlin,Germany,66,Female,High,9,605.3566651,Electronics,BlueStar,BlueStar AC,Same-Day,Credit Card,Split AC
1003072,Casey Hardin,San Francisco,Maine,USA,26,Male,High,10,4842.385816,Clothing,Zara,Dress,Standard,Credit Card,Maxi dress
1003092,Nicholas Moore,Chicago,Connecticut,USA,34,Male,Low,2,524.9115325,Grocery,Pepsi,Water,Standard,PayPal,Bottled water
1003092,Yolanda Blankenship,St. John's,Ontario,Canada,23,Female,Low,6,2285.985142,Home Decor,Bed Bath & Beyond,Bathroom,Standard,Cash,Shower
1003129,Christine Valdez,Canberra,New South Wales,Australia,34,Female,Medium,10,3841.445472,Grocery,Pepsi,Water,Same-Day,PayPal,Sparkling water
1003157,Alexander Gallagher,San Diego,New Hampshire,USA,58,Male,Medium,1,149.0048042,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Express,Cash,Mini-split AC
1003177,Diana Rose,Boston,Georgia,USA,23,Male,High,9,117.9704529,Electronics,Samsung,Smartphone,Standard,Cash,Motorola Moto
1003179,Ashley Stafford,London,Ontario,Canada,69,Female,Medium,1,270.3259832,Clothing,Nike,T-shirt,Express,Credit Card,V-neck tee
1003223,Eric Montgomery,Chicago,Connecticut,USA,34,Male,High,1,417.7468847,Home Decor,IKEA,Furniture,Standard,Debit Card,Dresser
1003226,Cassandra Hooper,Edinburgh,England,UK,48,Male,Low,1,195.3781493,Clothing,Zara,Dress,Express,Debit Card,Fit and flare dress
1003243,Debbie Sandoval,El Paso,Kentucky,USA,20,Male,Medium,7,2334.097958,Grocery,Nestle,Coffee,Standard,Debit Card,Cappuccino
1003262,Howard Anderson,Southampton,England,UK,47,Male,Medium,8,3441.061776,Home Decor,IKEA,Lighting,Same-Day,Debit Card,Floor lamps
1003285,Ashley Green,Windsor,Ontario,Canada,26,Male,Low,9,1126.398209,Electronics,Whirepool,Fridge,Same-Day,Credit Card,Side-by-side refrigerator
1003409,Timothy Singh,Miami,New Hampshire,USA,30,Male,Low,3,1248.252756,Clothing,Adidas,T-shirt,Express,Credit Card,Off-the-shoulder tee
1003414,Juan Sanchez,Hobart,New South Wales,Australia,22,Male,Medium,5,2239.43427,Electronics,Samsung,Television,Same-Day,Credit Card,4K TV
1003423,Matthew Mcconnell,Leipzig,Berlin,Germany,50,Male,Medium,7,1349.580424,Electronics,Apple,Smartphone,Express,Debit Card,OnePlus
1003479,Anna Stewart,Quebec City,Ontario,Canada,20,Male,Medium,8,427.8742846,Grocery,Coca-Cola,Juice,Express,Cash,Mixed fruit juice
1003486,Luis Michael,MÃ¼nster,Berlin,Germany,53,Male,Low,2,455.8841583,Clothing,Nike,Shoes,Express,Debit Card,Oxfords
1003490,Stephanie Stewart,Oshawa,Ontario,Canada,20,Male,High,10,1276.69769,Grocery,Nestle,Chocolate,Same-Day,Cash,Chocolate-covered nuts
1003520,Joseph Johnson,Kitchener,Ontario,Canada,20,Female,Medium,4,979.5745374,Clothing,Adidas,Shoes,Standard,Credit Card,Sandals
1003528,Jennifer Payne,Chicago,Connecticut,USA,20,Male,Low,1,404.7740533,Electronics,Apple,Smartphone,Express,Cash,Motorola Moto
1003535,Anna Chambers,Townsville,New South Wales,Australia,31,Male,Low,9,2170.33616,Home Decor,Bed Bath & Beyond,Kitchen,Express,Cash,Electric kettle
1003548,Robert Evans MD,Charlotte,Massachusetts,USA,20,Male,Medium,5,1511.675302,Clothing,Nike,Shorts,Same-Day,PayPal,Board shorts
1003558,Christine Farrell,Portsmouth,England,UK,19,Female,Medium,2,336.5437921,Clothing,Adidas,Shoes,Express,Cash,Slippers
1003603,Richard Hubbard,Barrie,Ontario,Canada,20,Male,High,9,881.7317261,Electronics,Samsung,Tablet,Express,Cash,Amazon Fire Tablet
1003639,Alicia George MD,Cardiff,England,UK,70,Male,Medium,9,1196.089456,Clothing,Zara,Jeans,Express,Credit Card,Wide-leg jeans
1003703,Evan Ortiz,Nashville,South Dakota,USA,20,Male,Low,6,1749.748535,Books,HarperCollins,Thriller,Same-Day,Credit Card,Techno-thriller
1003726,Steven Smith,Brisbane,New South Wales,Australia,24,Male,Medium,9,949.0293761,Books,HarperCollins,Thriller,Same-Day,Cash,Action
1003732,Dr. Brittany Bradshaw MD,Fort Worth,New Mexico,USA,19,Male,High,1,155.6341414,Electronics,Apple,Smartphone,Express,PayPal,Google Pixel
1003786,Perry Montoya,Nottingham,England,UK,69,Male,Medium,2,311.3179769,Clothing,Adidas,Shoes,Express,Credit Card,Flip flops
1003787,Jeff Bauer,Townsville,New South Wales,Australia,61,Male,Medium,9,4188.126796,Home Decor,Bed Bath & Beyond,Bathroom,Same-Day,Debit Card,Bathtub
1003818,Ryan Wolf,Cologne,Berlin,Germany,20,Male,Medium,5,591.0824226,Clothing,Adidas,Jacket,Same-Day,Debit Card,Peacoat
1003845,Steven Young,Chicago,Connecticut,USA,34,Male,Medium,1,215.9776418,Books,Penguin Books,Fiction,Express,PayPal,Romance
1003861,Christopher Davis,Cologne,Berlin,Germany,58,Female,Low,5,1514.355561,Electronics,Samsung,Television,Same-Day,Debit Card,LED TV
1003901,Christina Fitzpatrick,Hamburg,Berlin,Germany,46,Female,Medium,10,3955.40968,Home Decor,Home Depot,Decorations,Express,Credit Card,Rugs
1004001,Jamie Ibarra,Montreal,Ontario,Canada,62,Female,High,10,1151.113088,Books,Penguin Books,Fiction,Express,PayPal,Dystopian
1004026,Veronica Harrison,Long Beach,Arkansas,USA,53,Male,Medium,9,1162.668811,Books,Random House,Fiction,Express,Cash,Horror
1004095,Rodney Dunn,Boston,Georgia,USA,23,Female,High,1,261.5705905,Electronics,Apple,Smartphone,Express,Debit Card,Huawei P
1004104,Melanie Mcmahon,Toowoomba,New South Wales,Australia,48,Male,Low,3,45.75460372,Grocery,Coca-Cola,Juice,Same-Day,Debit Card,Tomato juice
1004113,Thomas Carney,Gold Coast,New South Wales,Australia,19,Female,High,4,159.2693902,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Express,Cash,Cassette AC
1004133,Kelly Alexander,Glasgow,England,UK,57,Female,Medium,3,206.7003059,Home Decor,Bed Bath & Beyond,Bedding,Same-Day,Debit Card,Mattress topper
1004215,Willie Castro,Chicago,Connecticut,USA,34,Male,Medium,10,130.3675103,Grocery,Pepsi,Water,Standard,,Flavored water
1004232,Colleen Swanson,Fort Worth,New Mexico,USA,19,Male,Low,4,892.632774,Electronics,Sony,Television,Same-Day,Credit Card,OLED TV
1004362,John Williams,Nuremberg,Berlin,Germany,34,Male,High,7,1760.090099,Grocery,Pepsi,Water,Same-Day,Cash,Sparkling water
1004406,Jose Garza,New York,Kansas,USA,23,Male,Medium,9,1953.674935,Books,Penguin Books,Children's,Standard,Credit Card,Books
1004430,Diana Bridges,Vancouver,Ontario,Canada,62,Male,Low,6,1394.433785,Clothing,Adidas,Jacket,Standard,PayPal,Leather jacket
1004448,Mary Fleming,Boston,Georgia,USA,23,Male,High,1,460.5549249,Books,Penguin Books,Children's,Express,Debit Card,Building blocks
1004454,Ashley Campbell,London,Ontario,Canada,57,Male,Medium,4,1921.230976,Books,Penguin Books,Children's,Express,Debit Card,Plush toys
1004474,Phillip Smith,Chicago,Connecticut,USA,34,Male,Low,3,240.4007086,Grocery,Pepsi,Water,Express,Credit Card,Mineral water
1004508,Aaron Lewis,Birmingham,England,UK,22,Male,High,6,1032.336531,Electronics,Sony,Headphones,Same-Day,Cash,Studio headphones
1004541,Alexis Tucker,Bonn,Berlin,Germany,19,Male,Low,4,385.6086054,Books,Penguin Books,Children's,Standard,Credit Card,Puzzles
1004549,Jill Smith MD,Geelong,New South Wales,Australia,33,Male,Medium,10,3099.633129,Home Decor,Bed Bath & Beyond,Bathroom,Express,Cash,Towel rack
1004552,Christopher Stokes,Fresno,Massachusetts,USA,22,Male,High,4,303.197419,Clothing,Zara,Dress,Express,Cash,Sundress
1004556,Jessica Holloway,Fort Worth,New Mexico,USA,19,Male,Low,10,2874.077132,Grocery,Coca-Cola,Water,Same-Day,PayPal,Sparkling water
1004588,Mary Walsh,Chicago,Connecticut,USA,34,Male,Low,1,157.931282,Home Decor,Home Depot,Decorations,Standard,Debit Card,Picture frames
1004589,John Bradford,Portland,Utah,USA,37,Female,Low,5,1205.884911,Grocery,Pepsi,Soft Drink,Same-Day,Cash,Cola
1004630,Rachel Gray,San Francisco,Maine,USA,26,Male,High,7,2618.522391,Books,Penguin Books,Non-Fiction,Express,PayPal,Memoir
1004631,John Brown,Darwin,New South Wales,Australia,37,Male,Medium,9,2193.669225,Home Decor,Bed Bath & Beyond,Bathroom,Standard,PayPal,Toilet paper holder
1004669,Christine Perez,Chicago,Connecticut,USA,34,Female,Low,2,865.1944064,Electronics,Sony,Headphones,Standard,Credit Card,Over-ear headphones
1004673,Frances Adams,Perth,New South Wales,Australia,53,Male,High,4,1674.813652,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Express,Cash,Split AC
1004733,Mary Foster,Melbourne,New South Wales,Australia,70,Male,Low,6,2379.241202,Clothing,Nike,Shorts,Same-Day,Cash,Chino shorts
1004755,Heather Anderson,Edinburgh,England,UK,46,Male,Low,3,735.0694137,Clothing,Adidas,Shoes,Same-Day,Debit Card,Running shoes
1004778,Wendy Rodriguez,Nottingham,England,UK,53,Female,Medium,6,2725.900403,Home Decor,Home Depot,Furniture,Express,Cash,Dresser
1004821,Patrick Torres,Cologne,Berlin,Germany,46,Female,Low,6,1823.080186,Home Decor,Bed Bath & Beyond,Kitchen,Same-Day,PayPal,Food processor
1004890,Charles Murray,Cairns,New South Wales,Australia,56,Male,Medium,9,1893.520003,Books,Random House,Literature,Express,PayPal,Poetry
1004897,Susan Lane,Oxford,England,UK,70,Male,High,10,3531.397829,Electronics,Sony,Headphones,Express,Debit Card,Over-ear headphones
1004902,Betty Sherman,Victoria,Ontario,Canada,46,Male,Low,7,3427.76276,Books,Penguin Books,Children's,Same-Day,PayPal,Clothing
1004958,Kelsey Woods,Brighton,England,UK,69,Female,Medium,8,2040.586073,Home Decor,Home Depot,Tools,Standard,Cash,Wrench
1004976,Lori Buckley,Manchester,England,UK,26,Female,Low,3,1479.331287,Books,Penguin Books,Children's,Express,Credit Card,Games
1004983,Rebecca Carter,London,Ontario,Canada,46,Female,Medium,5,1672.992306,Electronics,Sony,Smartphone,Standard,Cash,Motorola Moto
1005025,Anne Bullock,Louisville,Utah,USA,23,Female,High,10,3732.617434,Electronics,Apple,Tablet,Same-Day,Cash,Asus ZenPad
1005039,John Tate,Bonn,Berlin,Germany,23,Female,Medium,9,1114.320116,Grocery,Coca-Cola,Water,Same-Day,Debit Card,Flavored water
1005039,John Tate,Bonn,Berlin,Germany,68,Female,High,9,1114.320116,Grocery,Coca-Cola,Water,Same-Day,Cash,Sparkling water
